1,Am I on guard for “false friends” or misleading cognates between the source and target languages that could distort the meaning?,1.Am I on guard for “false friends” or misleading cognates between the source and target languages that could distort the meaning?
2,Have I checked for words that have multiple meanings in the source language and ensured the correct interpretation was chosen in translation?,2.Have I checked for words that have multiple meanings in the source language and ensured the correct interpretation was chosen in translation?
3,Have I considered the secondary meanings or feelings associated with particular words or phrases and does my translation reflect them?,3.Have I considered the secondary meanings or feelings associated with particular words or phrases and does my translation reflect them?
4,"Do my word choices convey the same connotations in the target language? For example, while 'Latin school' in a German context implies a prestigious institution, a direct translation into Chinese may require a term like 'better school' to convey the same idea.","4.Do my word choices convey the same connotations in the target language? For example, while 'Latin school' in a German context implies a prestigious institution, a direct translation into Chinese may require a term like 'better school' to convey the same idea."
5,"Have I adjusted measurement units, currencies, numerical expressions, and titles appropriately?","5.Have I adjusted measurement units, currencies, numerical expressions, and titles appropriately?"
6,Does the translation accurately reflect the core meaning of the original text without unnecessary additions or omissions?,6.Does the translation accurately reflect the core meaning of the original text without unnecessary additions or omissions?
7,"Does the translated text flow naturally in the target language, following the conventional writing style and grammar?","7.Does the translated text flow naturally in the target language, following the conventional writing style and grammar?"
8,"Do I account for grammatical differences between the source and target languages (tense, aspect, word order, etc.) so that the same information and nuances come through?","8.Do I account for grammatical differences between the source and target languages (tense, aspect, word order, etc.) so that the same information and nuances come through?"
9,Does my translation avoid literal interpretations that could distort the intended message?,9.Does my translation avoid literal interpretations that could distort the intended message?
10,"Have I preserved literary devices (irony, symbolism, foreshadowing, etc.) so that the author’s artistic intentions are carried into the translation (or provided subtle cues if direct carryover isn’t possible)?","10.Have I preserved literary devices (irony, symbolism, foreshadowing, etc.) so that the author’s artistic intentions are carried into the translation (or provided subtle cues if direct carryover isn’t possible)?"
11,"Have I avoid the case where direct translation of idioms, honorifics, or set phrases creates unintended confusion?","11.Have I avoid the case where direct translation of idioms, honorifics, or set phrases creates unintended confusion?"
12,"Have I adjusted idioms, humor or figures of speech to maintain the original’s intent and effect within the cultural context of the target language? (e.g., ""raining cats and dogs"" → ""llueve a cántaros"" in Spanish, or ""下倾盆大雨"" in Chinese)","12.Have I adjusted idioms, humor or figures of speech to maintain the original’s intent and effect within the cultural context of the target language? (e.g., ""raining cats and dogs"" → ""llueve a cántaros"" in Spanish, or ""下倾盆大雨"" in Chinese)"
