source,document,if_literary,target,score,model,pair,len_source
"Stealthily I made my way towards the back of the store, murmurs and talking heard beyond a metal grate which took a few yanks to tear off. Climbing into the vent was the safest and quietest option for me right now; climbing my way through, I’d pick up on conversations and talks between strangely dressed men. I noticed Al inside, chained. Figures he’d get caught eventually.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Plížil jsem se ke zadní části obchodu, šepot a mluvení se ozývaly za kovovým mřížemi, které se podařilo po několika pokusech strhnout. Vlézt do větrací šachty byla pro mě v tuto chvíli nejbezpečnější a nejtišší možnost; když jsem se tam dostal, naslouchal jsem rozhovorům a rozhovorům mezi podivně oblečenými muži. Všiml jsem si Ala uvnitř, v řetězech. Je jasné, že se nakonec chytil.
",0.825,Aya23,en-cs,66
"Alborn was a great guy, but this looked serious. No need to stick my nose out for someone, especially when they seem like they’ve just gotten into trouble with every authority in the city. Yet, I still couldn’t shake the feeling. Letting a silent sigh escape me, I slowly warped off the grate below, dropping down into the quiet room. “Psst. Al. Al!” I whispered, giving a soft yell at his lack of response. “Lilith? What are you doing here..? You’ve gotta leave, he’ll catch you.”
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Alborn byl skvělý kluk, ale tohle vypadalo vážně. Není třeba strkat nos do něčeho za někoho, zvláště když to vypadá, že se dostali do potíží se všemi autoritami ve městě. Přesto jsem nemohl zbavit toho pocitu. S povzdechem jsem se pomalu odvalil od mříže pod sebou, spadl do tiché místnosti. „Pššt. Al. Al!“ zašeptal jsem, když na jeho nedostatek reakce. „Lilith? Co tu děláš..? Musíš odejít, chytí tě.“
",0.825,Aya23,en-cs,86
"No shit, I silently voiced to myself. Attempting to lockpick the chains that wrapped around his arms, voices closed in on our location, the faint footsteps growing ever louder. “Quick! Get back in the vent, and leave. Do not come back. If we meet again, it won’t be in this city.” He said hurriedly, the flash of panic on his face didn’t help my nerves at all. Listening to his advice. I couldn’t bring myself to stay longer. Fuck, Al. I quickly ran for it after exiting the vent; it hurt a bit to lose such an invaluable friend. Were they moving him to the…other city? So many things were flicking through my slightly scattered mind, and most of them were angry but sad. I’d done numerous kinds of research on the outer cities, and the capital of the infected, Alcatraz, which they named after the prison – felt like it fit the name pretty well from what I’d read. Not to mention the unmutated had cut any remaining connecting land with infected land, it was…tragic.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Žádné hovno, tiše jsem si řekl sám pro sebe. Pokoušel jsem se odemknout řetězy, které mu byly omotány kolem rukou, hlasy se blížily k našemu umístění, slabé kroky byly stále hlasitější. „Rychle! Vraťte se do ventilace a odejděte. Nepřiďte zpátky. Pokud se znovu setkáme, nebude to v tomto městě.“ Řekl pospíchavě, záblesk paniky na jeho tváři mi vůbec nepomohl uklidnit nervy. Poslechl jsem jeho radu. Nemohl jsem se přinutit zůstat déle. Do prdele, Al. Rychle jsem utíkal poté, co jsem opustil ventilaci; trochu to bolelo, když jsem ztratil tak neocenitého přítele. Přesouvali ho do... druhého města? Mnoho věcí mi procházelo mírně rozptýlenou myslí a většina z nich byla naštvaná, ale smutná. Udělal jsem mnoho druhů výzkumu o vnějších městech a hlavním městě nakažených, Alcatraz, které pojmenovali po vězení - zdálo se, že název docela dobře odpovídá tomu, co jsem četl. Nezmínit se o tom, že nemutovaní přerušili jakékoli zbývající připojené pozemky s nakaženou zemí, bylo to... tragické.
",0.54,Aya23,en-cs,176
"The walk home was quiet, but so loud. The thoughts infecting my brain were booming, and the regret of not having stayed to help flashed over multiple times. I finally arrived home, almost brought to tears by the dreadful walk in the burst of sounds from the clouds above, the thunderous booms were enough to frighten any person sometimes. Dad was already passed out on the couch, some rerun of an older movie, probably 10-12 years old; sighing, I quietly crept my way back to my room. Flopping in the bed, I wasn’t able to keep my eyes open for long. Before long, slumber crept up on me.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Cesta domů byla tichá, ale tak hlasitá. Myšlenky, které mi infekovaly mozek, byly ohlušující a lítost, že jsem nezůstal, abych pomohl, se několikrát mihla. Nakonec jsem dorazil domů, téměř rozplakaný tou strašlivou procházkou v explozi zvuků z mraků nade mnou, hromové rány byly dost, aby vyděsily každého člověka někdy. Táta byl už omráčený na pohovce, nějaký opakování staršího filmu, pravděpodobně 10-12 let starého; povzdech, tiše jsem se plížil zpátky do svého pokoje. V posteli jsem se převrátil, nebyl jsem schopen dlouho držet oči otevřené. Brzy se ke mně dostavil spánek.
",0.46,Aya23,en-cs,108
"The days rolled past before I could even realize it. It was a few days since Alborn was taken away – to where I had no clue, but I knew he was taken somewhere. Those outfits seemed familiar, but no way was I going to figure it out on the first try. Sighing, I placed my hands on the system in front of me, emanating a red and purple glow – I could hack the security, the place isn’t far, and I doubt they took measures...Maybe I shouldn’t. Of course, against all morals, my fingers moved without my knowing, pulling up multiple screens; god I’m good. I was pretty popular on a couple of websites, they referred to me as “WRAITH.” Which was a pretty catchy name. Granted my name on any site is WR417H, but I like to think the public came up with it.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Dny se odvíjely, než jsem si to vůbec uvědomil. Odvezli Alborna - kam nemám ponětí, ale věděl jsem, že ho někam odvezli. Ty uniformy mi byly povědomé, ale nemohl jsem to zjistit při prvním pokusu. Zívnul jsem a položil ruce na systém přede mnou, který vyzařoval červenou a fialovou záři - mohl jsem hacknout zabezpečení, místo nebylo daleko a pochybuji, že přijali opatření... Možná bych neměl. Samozřejmě proti všem morálkám se mé prsty pohybovaly bez mého vědomí, zobrazovaly se různé obrazovky; bože, jsem dobrý. Byl jsem docela populární na několika webových stránkách, označovali mě jako „WRAITH“. Což bylo docela chytlavé jméno. Moje uživatelské jméno na jakékoli stránce je WR417H, ale rád si myslím, že to vymyslela veřejnost.
",0.57,Aya23,en-cs,146
"Moving the surveillance onto my mobile device, I watched each one intently. Nothing. It was like they were never there. That makes no sense. Cameras had tight security, even with remote access. How..? ARGH. I stood angrily, ready to remove some thoughts from my head – I made my way over, sliding on shoes and taking my keys. “I’ll be back soon, Dad.”Silence. Whatever, he didn’t usually respond, he was probably busy doing something more important than me anyway.
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Přesouvám sledování na svůj mobilní přístroj a pozorně sleduji každý z nich. Nic. Bylo to, jako by tam nikdy nebyli. To nedává smysl. Kamery měly přísná bezpečnostní opatření, dokonce i s dálkovým přístupem. Jak...? ARGH. Postavil jsem se rozzlobeně, připravený odstranit některé myšlenky ze své hlavy - udělal jsem cestu, klouzal v botách a bral klíče. „Brzy se vrátím, tati.“Ticho. Bez ohledu na to, obvykle neodpovídal, byl pravděpodobně zaneprázdněn něčím důležitějším než já.
",0.455,Aya23,en-cs,79
"With a quick jolt, I felt a shiver enthrall its way down my spine as I made my way out of the apartment; weird. Ignoring the feeling, I urged myself to head towards Al’s to investigate a little, but my legs moved towards Anton’s small bar – it was a pretty calm place, and I definitely needed to talk to someone. Who better than a bartender who owes you something?
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Rychlým šokem jsem cítil mrazení, které mi běhalo po zádech, když jsem odcházel z bytu; divné. Ignorujíc pocit, naléhám na to, abych se vydal k Alovi a trochu to prozkoumal, ale moje nohy se vydaly k Antonovu malému baru – bylo to docela klidné místo a já rozhodně potřeboval mluvit s někým. Kdo je lepší než barman, kterému něco dlužíte?
",0.61,Aya23,en-cs,70
"Irregularly, Anton’s was pretty busy; it was bustling with activity and new faces that I’ve never seen before – Anton was regularly the only worker, so knowing that he must be pretty stressed. “Hey Barkeep, get me a coffee.” I purposely spoke in a lower tone to throw him off a bit, a small chuckle escaping me seeing his sigh of relief after turning quickly. “God, Lilith, don’t do that to me…” he softly let out, obviously tired. “You seem pretty busy…you need some help? Look’s like there's more than plenty of folks here.” I huffed out, I do not want to help with these drunks, but I feel bad making this guy work alone out here. “Could you? I’ll pay you after…” he uttered with the eyes of a puppy, aimed straight at me. Advanced War Tactics…
","literary	test-en-literary_detestable_chunk_2_words_945
",True,"Irregularně, Antonův byl docela zaneprázdněný; byl plný aktivity a nových tváří, které jsem předtím nikdy neviděl - Anton byl pravidelně jediným pracovníkem, takže věděl, že musí být docela stresovaný. „Hej, barman, dej mi kafe.“ Úmyslně jsem mluvil tišeji, abych ho trochu vyvedl z míry, a z mých úst unikl malý smích, když viděl jeho povzdech úlevy po rychlém otočení. „Bože, Lilith, nedělej to se mnou...“ vydechl zjevně unaveně. „Zdá se, že jste docela zaneprázdněný... potřebujete pomoc? Vypadá to, že je tu víc než dost lidí.“ Zahučel jsem, nechtěl jsem pomáhat s těmito opilci, ale cítím se špatně, že tento chlap pracuje sám. „Mohl bys? Zaplatím ti po...“ vyřkl s očima štěněte, zaměřenými přímo na mě. Pokročilé válečné taktiky...
",0.48,Aya23,en-cs,138
"A burst of flames erupted from Thassalin's jaws as the colossal Thraki set fire to a very specific patch of forest, then circled above, watching for moment. Weirdly, as he had slowed down, the weird screaming noise from behind him had stopped. Thassalin had forgotten he had passengers on his back.
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"Z Thassalinových tlam vybuchla ohnivá exploze, když kolosální Thraki zapálil velmi konkrétní část lesa, pak se vznášel nad ním a sledoval, co se děje. Zajímavé bylo, že jak zpomalil, podivné ječení, které se ozývalo za ním, ustalo. Thassalin na chvíli zapomněl, že na jeho zádech sedí pasažéři.
",0.8,Aya23,en-cs,51
"""My own flight is very different from being abruptly dragged off by a massive, pink dragon!""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"„Můj vlastní let je velmi odlišný od náhlého přetažení obrovským růžovým drakem!“
",0.85,Aya23,en-cs,16
