src,tgt,pair,ID,model,best,position,dataset
"Darauf denn nun Herr Settembrini! Allzu kühn, rief er, kehre der andere seinen Geschmack an der inbrünstigen Barbarei gewisser Epochen hervor, indem er die Liebe zur literarischen Form verhöhne, ohne die allerdings keine Menschlichkeit möglich und denkbar sei, allerdings nicht und nimmermehr! Vornehmheit? Nur Menschenfeindschaft könne die Wortlosigkeit, die rohe und stumme Dinglichkeit auf ihren Namen tau{788}fen. Vornehm vielmehr sei einzig ein gewisser edler Luxus, die generosità, die sich darin bekunde, der Form einen menschlichen, vom Inhalt unabhängigen Eigenwert beizulegen, – der Kultus der Rede als einer Kunst um der Kunst willen, dies Erbe der griechisch-römischen Zivilisation, welches die Humanisten, die uomini letterati, der Romania, ihr wenigstens, zurückgebracht hätten, und das die Quelle jedes weiteren und inhaltlichen Idealismus, auch des politischen, sei. »Jawohl, mein Herr! Was Sie als Trennung von Rede und Leben verunglimpfen möchten, ist nichts als höhere Einheit im Kronrund des Schönen, und mir ist nicht bange, auf welche Seite in einem Streit, dessen Wahlfälle Literatur und Barbarei heißen, hochherzige Jugend sich immer schlagen wird.«","Then Mr. Settembrini! All too boldly, he exclaimed, the other shows his taste for the fervent barbarism of certain epochs by mocking the love of literary form, without which, of course, no humanity is possible and conceivable, but not and never! distinction? Only misanthropy could baptize the wordlessness, the raw and dumb materiality. Rather, what is noble is a certain noble luxury, the generosità, which manifests itself in attributing a human intrinsic value to the form, independent of the content – the cult of speech as an art for the sake of art, this legacy of Greco-Roman civilization, which the humanists who brought back uomini letterati, of Romania, at least you, and that is the source of all further and substantive idealism, including the political one. ""Yes sir! What you wish to denigrate as the separation of speech and life is nothing but a higher unity in the crown of beauty, and I am not afraid which side generous youth will always take in a quarrel whose choices are literature and barbarism.”",de-en,de-en-hum_gt-ThenMr.S-Andherec-Daraufden,gt,text2,text1,PAR3-annotated
"Mit lächelndem Gesichte schaute Siddhartha dem hinweggehenden Mönche nach. Der Schlaf hatte ihn sehr gestärkt, sehr aber quälte ihn der Hunger, denn er hatte nun zwei Tage nichts gegessen, und lange war die Zeit vorüber, da er hart gegen den Hunger gewesen war. Mit Kummer, und doch auch mit Lachen, gedachte er jener Zeit. Damals, so erinnerte er sich, hatte er sich vor Kamala dreier Dinge gerühmt, hatte drei edle und unüberwindliche Künste gekonnt: Fasten – Warten – Denken. Dies war sein Besitz gewesen, seine Macht und Kraft, sein fester Stab, in den fleißigen, mühseligen Jahren seiner Jugend hatte er diese drei Künste gelernt, nichts anderes. Und nun hatten sie ihn verlassen, keine von ihnen war mehr sein, nicht Fasten, nicht Warten, nicht Denken. Um das Elendeste hatte er sie hingegeben, um das Vergänglichste, um SinnenIust, um Wohlleben, um Reichtum! Seltsam war es ihm in der Tat ergangen. Und jetzt, so schien es, jetzt war er wirklich ein Kindermensch geworden.","With a smiling face, Siddhartha watched the departing monk. Sleep had greatly strengthened him, but hunger tormented him greatly, for he had not eaten for two days, and the time was long gone when he had been hard against hunger. With sorrow, and yet also with laughter, he thought of that time. At that time, he recalled, he had boasted three things to Kamala, had mastered three noble and insurmountable arts: Fasting - Waiting - Thinking. This had been his possession, his might and strength, his steady staff, in the busy, toilsome years of his youth he had learned these three arts, nothing else. And now they had left him, none of them was his anymore, not fasting, not waiting, not thinking. He had given her up for what was most miserable, for what was most perishable, for sensual pleasure, for a good life, for riches! It had indeed been strange for him. And now, it seemed, he really had become a childish man.",de-en,de-en-hum_gt-Withasmi-Withasmi-Mitlächel,gt,text2,text1,PAR3-annotated
"Plötzlich zuckte Hans Castorp geärgert und beleidigt zusammen. Eine Tür war zugefallen, es war die Tür links vorn, die gleich in die Halle führte, – jemand hatte sie zufallen lassen oder gar hinter sich ins Schloß geworfen, und das war ein Geräusch, das Hans Castorp auf den Tod nicht leiden konnte, das er von jeher gehaßt hatte. Vielleicht beruhte dieser Haß auf Erziehung, vielleicht auf angeborener Idiosynkrasie, – genug, er verabscheute das Türenwerfen und hätte jeden schlagen können, der es sich vor seinen Ohren zuschulden kommen ließ. In diesem Fall war die Tür obendrein mit kleinen Glasscheiben gefüllt, und das verstärkte den Chok: es war ein Schmettern und Klirren. Pfui, dachte Hans Castorp wütend, was ist denn das für eine verdammte Schlamperei! Da übrigens in demselben Augenblick die Nähterin das Wort an ihn richtete, so hatte er keine Zeit, festzustellen, wer der Missetäter gewesen sei. Doch standen Falten zwischen seinen blonden Brauen, und sein Gesicht war peinlich verzerrt, während er der Nähterin antwortete.","Suddenly Hans Castorp winced, annoyed and offended. A door had slammed shut, it was the front left door that led straight into the hall - someone had let it shut or even slammed it behind them, and that was a noise that Hans Castorp couldn't stand, that he had always hated. Perhaps that hatred was from education, perhaps from innate idiosyncrasy—enough he detested door-smashing, and could have punched anyone who threw it in front of his ears. In this case the door was also filled with small panes of glass, and that added to the shock: it was a smash and clink. Pfui, thought Hans Castorp angrily, what kind of damned sloppiness is that! Incidentally, since the seamstress spoke to him at the same moment, he had no time to establish who the culprit was. But there were lines between his blond brows and his face was awkwardly contorted as he answered the seamstress.",de-en,de-en-hum_gt-SuddenlyH-SuddenlyH-Plötzlich,gt,text2,text1,PAR3-annotated
"Siddhartha dankte und nahm an, und wohnte nun im Hause des Händlers. Kleider wurden ihm gebracht, und Schuhe, und ein Diener bereitete ihm täglich das Bad. Zweimal am Tage wurde eine reichliche Mahlzeit aufgetragen, Siddhartha aber aß nur einmal am Tage, und aß weder Fleisch noch trank er Wein. Kamaswami erzählte ihm von seinem Handel, zeigte ihm Waren und Magazine, zeigte ihm Berechnungen. Vieles Neue lernte Siddhartha kennen, er hörte viel und sprach wenig. Und der Worte Kamalas eingedenk, ordnete er sich niemals dem Kaufmanne unter, zwang ihn, dass er ihn als seinesgleichen, ja als mehr denn seinesgleichen behandle. Kamaswami betrieb seine Geschäfte mit Sorglichkeit und oft mit Leidenschaft, Siddhartha aber betrachtete dies alles wie ein Spiel, dessen Regeln genau zu lernen er bemüht war, dessen Inhalt aber sein Herz nicht berührte.","Siddhartha thanked him and accepted the invitation and now he lived in the merchant’s home. Clothes were brought to him, and shoes, and a servant prepared his daily bath. Twice a day a copious meal was served, but Siddhartha ate only once a day, and he ate no meat and drank no wine. Kamaswami told him about his business, he showed him wares and warehouses, showed him accounts. Siddhartha learned a lot of new things, he heard much and said little. And mindful of Kamala’s words, he never submitted to the merchant, he forced him to treat Siddhartha as his peer, indeed more than his peer. Kamaswami conducted his business with care and often with passion, but Siddhartha treated it all as a game, whose rules he strove to learn precisely, but whose content did not touch his heart.",de-en,de-en-hum_gt-Siddhartha-Siddhartha-Siddhartha,human,text1,text1,PAR3-annotated
"Gestern sind wir hier angelangt. Der Gesandte ist unpaß und wird sich also einige Tage einhalten. Wenn er nur nicht so unhold wäre, wär' alles gut. Ich merke, ich merke, das Schicksal hat mir harte Prüfungen zugedacht. Doch gutes Muts! Ein leichter Sinn trägt alles! Ein leichter Sinn? Das macht mich zu lachen, wie das Wort in meine Feder kommt. O ein bißchen leichteres Blut würde mich zum Glücklichsten unter der Sonne machen. Was! da, wo andere mit ihrem bißchen Kraft und Talent vor mir in behaglicher Selbstgefälligkeit herumschwadronieren, verzweifle ich an meiner Kraft, an meinen Gaben? Guter Gott, der du mir das alles schenktest, warum hieltest du nicht die Hälfte zurück und gabst mir Selbstvertrauen und Genügsamkeit?","We arrived here yesterday. The ambassador is indisposed and will not be going out for a few days. If only he were not so unpleasant, things would be a great deal easier. But fate has many trials in store for me— I know it, I know it. However, let us not lose courage, for a light heart can bear all things. A light heart? I have to laugh. How could I write such words? Ah yes, a little lighter blood could make me the happiest man on earth! Come, come, Werther! How can you doubt your strength, your gifts, when others complacently parade their puny strength and talents? Dear God, who hath bestowed all this upon me, why didst Thou not withhold a half of it and give me instead faith in myself and a modest capacity for contentment?",de-en,de-en-hum_gt-Wearrived-Wegother-Gesternsi,human,text1,text1,PAR3-annotated
"Sieben Tische standen im Speisesaal, die meisten in Längsrichtung, nur zwei in die Quere. Es waren größere Tafeln, für zehn Personen jede, wenn auch die Gedecke nicht überall vollzählig waren. Nur ein paar Schritte schräg in den Saal hinein, und Hans Castorp war schon an seinem Platz: er war ihm an der Schmalseite des Tisches bereitet, der mitten vorn stand, zwischen den beiden querstehenden. Aufrecht hinter seinem Stuhle, verbeugte Hans Castorp sich steif und freundlich gegen die Tischgenossen, mit denen Joachim ihn zeremoniell bekannt machte, und die er kaum sah, geschweige, daß ihm ihre Namen ins Bewußtsein gedrungen wären. Einzig Frau Stöhrs Person und Namen faßte er auf, und daß sie ein rotes Gesicht und fettige aschblonde Haare hatte. Man konnte ihr die Bildungsschnitzer wohl zutrauen, so störrisch unwissend war ihr Gesichtsausdruck. Dann setzte er sich und nahm beifällig wahr, daß man das erste Frühstück hier als eine ernste Mahlzeit behandelte.","There were seven tables in the dining room, most of them lengthwise, only two across. There were larger tables, for ten people each, even if the covers were not all full. Only a few steps diagonally into the hall, and Hans Castorp was already in his place: he was ready for him on the narrow side of the table, which was standing in the middle in front, between the two people standing at right angles. Standing upright behind his chair, Hans Castorp bowed stiffly and politely to the table companions, to whom Joachim ceremonially introduced him, and whom he scarcely saw, let alone that their names had penetrated his consciousness. All he understood was Frau Stohr's person and name, and that she had a red face and greasy, ash-blonde hair. One could well credit her with the educational blunders, her facial expression was so stubbornly ignorant. Then he sat down and noted with approval that the first breakfast here was treated as a serious meal.",de-en,de-en-hum_gt-Therewere-Therewere-SiebenTis,gt,text2,text1,PAR3-annotated
"Nicht doch, so weit wollte Hans Castorp nicht gehen. Er unterwarf sich der Kur, obgleich er sie ridikül und ehrlos fand. Diese Impfungen mit sich selbst wollten ihm als eine abscheulich freudlose Diversion erscheinen, als ein inzestuöser Greuel von Ich zu Ich, frucht- und hoffnungslos in seinem Wesen. So urteilte seine hypochondrische Unbelehrtheit, die nur im Punkte der Unfruchtbarkeit – und in diesem freilich vollkommen – recht behielt. Die Diversion erstreckte sich über Wochen. Sie schien zuweilen zu schaden – was selbstverständlich auf Irrtum beruhen mußte –, zuweilen auch zu nützen, was sich dann aber gleichfalls als Irrtum herausstellte. Das Ergebnis war Null, ohne bei Namen genannt und ausdrücklich verkündigt zu werden. Die Unternehmung verlief im Sande, und Hans Castorp fuhr fort, Patience zu legen – Aug’ in Auge mit dem Dämon, dessen zügelloser Herrschaft für sein Gefühl ein Ende mit Schrecken bevorstand.","No, Hans Castorp didn't want to go that far. He submitted to the cure, although he found it ridiculous and dishonorable. These inoculations with himself wanted to appear to him as a hideously joyless diversion, an incestuous ego-to-ego abomination, fruitless and hopeless in his essence. That was the judgment of his hypochondriac ignorance, which was only right on the point of infertility – and in this, of course, completely. The diversion lasted for weeks. Sometimes it seemed to do harm - which of course had to be based on error - and sometimes to help, which then also turned out to be an error. The result was zero, without being named and expressly proclaimed. The venture fizzled, and Hans Castorp continued to play solitaire face-to-face with the demon whose rampant rule he felt was ending in terror.",de-en,"de-en-hum_gt-No,HansC-Well,Hans-Nichtdoch",gt,text2,text1,PAR3-annotated
"Nun war denn also der Plan eines Ausflugs zum Wasserfall an der Tagesordnung, – Peeperkorn selbst hatte das Ziel bestimmt, und er fühlte sich rüstig zu dem Unternehmen. Es war der dritte Tag nach einem Quartananfall; Mynheer ließ wissen, daß er ihn zu nutzen wünsche. Zwar war er zu den ersten Mahlzeiten des Tages nicht im Speisesaal erschienen, sondern hatte sie, wie in letzter Zeit sehr häufig, zusammen mit Madame Chauchat in seinem Salon eingenommen; aber schon beim ersten Frühstück hatte Hans Castorp durch den hinkenden Concierge Order empfangen, sich eine Stunde nach dem Mittagessen zu einer Spazierfahrt bereitzuhalten, ferner, diesen Befehl an die Herren Ferge und Wehsal weiterzugeben, auch Settembrini und Naphta zu benachrichtigen, daß man bei ihnen vorfahren werde, und endlich für die Bestellung zweier Landauer auf drei Uhr Sorge zu tragen.","But the plan for an excursion to the waterfall was now on the agenda—Peeperkorn himself had selected the goal, and he felt up to the effort. It was the third day after a quartan attack; Mynheer let it be known he wished to take advantage of the fact. He had not appeared in the dining hall for the first meals of the day, but had taken them, as he often did of late, with Madame Chauchat in his parlor. Nevertheless, as Hans Castorp made his way to first breakfast, he was greeted by the limping concierge and told to be ready for a drive one hour after dinner; he was also to pass the order on to Herr Ferge and Herr Wehsal, likewise to notify Settembrini and Naphta that they would be picked up, and, finally, was given the task of ordering two landaus for three o’clock that afternoon.",de-en,de-en-hum_gt-Butthepl-Sonowthe-Nunwarde,human,text1,text1,PAR3-annotated
"Sie standen also alle steif aufrecht an unserem Tisch: Hans Castorp und die beiden Gegner und ihnen gegenüber Ferge und Wehsal. Alle fünf waren sie blaß, mit erweiterten Augen und zuckenden Mündern. Hätten nicht die drei Unbeteiligten den Versuch machen können, beschwichtigend einzuwirken, mit einem Scherzwort die Spannung zu lösen, durch irgendein menschliches Zureden alles zum Guten zu wenden? Sie unternahmen ihn nicht, diesen Versuch. Die inneren Umstände hinderten sie daran. Sie standen und bebten, und unwillkürlich ballten ihre Hände sich zu Fäusten. Selbst A. K. Ferge, dem alles Höhere erklärtermaßen völlig fern lag und der von vornherein gänzlich darauf verzichtete, die Tragweite des Streites zu ermessen, – auch er war überzeugt, daß es hier auf Biegen und Brechen gehe, und daß man, selbst mit hingerissen, nichts tun könne, als den Dingen ihren Lauf zu lassen. Sein gutmütiger Schnurrbartbausch wanderte heftig auf und nieder.","So they all stood stiffly upright at our table: Hans Castorp and the two opponents and opposite them Ferge and Wehsal. All five of them were pale, with dilated eyes and twitching mouths. Couldn't the three bystanders have tried to calm things down, to ease the tension with a joke, to turn everything around with some human persuasion? They didn't make that attempt. Internal circumstances prevented her from doing so. They stood and trembled, and involuntarily their hands clenched into fists. Even AK Ferge, to whom anything higher was avowedly completely remote and who from the outset completely refrained from assessing the scope of the dispute, - he too was convinced that it was a matter of hook or buck here, and that one, even enraptured, could do nothing can do than let things take their course. His good-natured puff of mustache wandered violently up and down.",de-en,de-en-hum_gt-Sotheyal-Andnowev-Siestande,gt,text2,text1,PAR3-annotated
"Recht vergebens, versetzte Naphta, rufe Herr Settembrini die Einfalt jener morgendlichen Zeiten zu seiner Hilfe auf, – die Siegerin, die ihre Schöpferkraft noch in der Dämonisierung des Überwundenen bewährt habe. Übrigens seien die Lehrer der jungen Kirche nicht müde geworden, vor den Lügen der alten Philosophen und Dichter zu warnen, insonderheit davor, sich mit der üppigen Beredsamkeit des Virgil zu beflecken, und heute, wo wieder ein Zeitalter zu Grabe sinke, abermals ein proletarischer Morgen tage, sei wahrhaftig die Stunde günstig, ihnen nachzufühlen! So möge denn, um alles zu beantworten, Herr Lodovico auch überzeugt sein, daß er, Redner, sein bißchen bürgerliche Beschäftigung, worauf jener anzuspielen die Güte gehabt habe, mit aller gebotenen reservatio mentalis betreibe und sich nicht ohne Ironie in einen klassisch-rhetorischen Erziehungsbetrieb einordne, dessen Lebensdauer ein Sanguiniker allenfalls noch nach Jahrzehnten berechnen möge.","It was in vain, replied Naphta, that M. Settembrini called upon the simplicity of those early mornings to help him—the victor who had proved her creative powers by demonizing the vanquished. Incidentally, the teachers of the early church never tired of warning against the lies of the old philosophers and poets, especially against smearing themselves with the lavish eloquence of Virgil, and today, when another age is sinking to the grave, another proletarian tomorrow days, truly be the right hour to empathize with them! So, in order to answer everything, Mr. Lodovico may also be convinced that he, a speaker, pursues his bit of civil occupation, to which he was kind enough to allude, with all the necessary reservations and not without irony in a classical-rhetorical educational establishment classify, whose lifespan a sanguine may at best calculate after decades.",de-en,de-en-hum_gt-Itwasin-Itwasall-Rechtverg,gt,text2,text1,PAR3-annotated
